id,product_sync_code,product_group,product_code,sku,msku,active,minimum_price,link_tiki,link_lazada,link_shopee,link_sendo
198,Orico PUG-C7-300,Orico,ORICO-PUG-C7-300,9893124381664,6239770068116,1,582000,https://tiki.vn/day-cap-mang-orico-cat7-pug-c7-300-bk-den-30m-hang-chinh-hang-p4027561.html,,,
199,Orico HM14-40-BK,Orico,ORICO-HM14-40-BK,7002127573323,2937704347422,0,129000,https://tiki.vn/cap-noi-dai-hdmi-ver1-4-orico-hm14-40-bk-4m-hang-chinh-hang-p1543365.html,,,
200,Orico HM14-15-BK,Orico,ORICO-HM14-15-BK,5802117613808,1358426733859,1,94000,https://tiki.vn/cap-noi-hdmi-orico-hm14-15-bk-1-5m-hang-chinh-hang-p682656.html,,,
201,Orico HD303-30-BK,Orico,ORICO-HD303-30-BK,1549251392094,5834172466686,0,137000,https://tiki.vn/cap-noi-dai-hdmi-chuan-2-0-orico-hd303-30-bk-chieu-dai-3m-hang-chinh-hang-mau-den-p6327465.html,,,
202,Orico HD303-20-BK,Orico,ORICO-HD303-20-BK,3934254187972,9427836129117,1,107000,https://tiki.vn/cap-noi-dai-hdmi-chuan-2-0-orico-hd303-20-bk-chieu-dai-2m-hang-chinh-hang-mau-den-p6184675.html,,,
203,Orico HD303-15-BK,Orico,ORICO-HD303-15-BK,6471722507650,4659730983709,0,100000,https://tiki.vn/cap-noi-dai-hdmi-chuan-2-0-orico-hd303-15-bk-chieu-dai-1-5m-hang-chinh-hang-mau-den-p6184371.html,,,
204,Orico K10000 (B),Orico,ORICO-K10000-B,9711861826845,7687051709019,1,392000,https://tiki.vn/pin-sac-du-phong-orico-k10000-10-000-mah-qc3-0-type-c-hang-chinh-hang-p1826263.html,,,
205,Orico K10000 (W),Orico,ORICO-K10000-W,2097930935975,8637830412578,0,392000,https://tiki.vn/pin-sac-du-phong-orico-k10000-10-000-mah-qc3-0-type-c-hang-chinh-hang-p1826263.html,,,
206,Orico LD100 (W),Orico,ORICO-LD100-W,4535591737388,1448665413602,0,291000,https://tiki.vn/pin-sac-du-phong-orico-10000mah-ld100-hang-chinh-hang-p860096.html,,,
207,Orico LD100 (Pi),Orico,ORICO-LD100-PI,7051609744973,1441490039894,0,291000,https://tiki.vn/pin-sac-du-phong-orico-10000mah-ld100-hang-chinh-hang-p860096.html,,,
208,Orico LD100 (Br),Orico,ORICO-LD100-BR,7924215250773,1444716401420,0,291000,https://tiki.vn/pin-sac-du-phong-orico-10000mah-ld100-hang-chinh-hang-p860096.html,,,
209,Orico HD303-10-BK,Orico,ORICO-HD303-10-BK,4113519038566,3122623463028,0,86000,https://tiki.vn/cap-noi-dai-hdmi-chuan-2-0-orico-hd303-10-bk-chieu-dai-1m-hang-chinh-hang-mau-den-p5948007.html,,,
210,Orico CER3-15,Orico,ORICO-CER3-15,9646363856345,2864084437217,1,80000,https://tiki.vn/cap-noi-chuan-usb-3-0-sang-usb-3-0-orico-cer3-15-dai-1-5m-p9266173.html,,,
211,Orico LX12500 (B),Orico,ORICO-LX12500,5579398279466,1449715517455,0,580000,https://tiki.vn/pin-sac-du-phong-orico-12500-mah-x12500-hang-chinh-hang-p860880.html,,,
212,Orico LE12000 (W),Orico,ORICO-LE12000,7650184960114,1440093856587,0,356000,https://tiki.vn/pin-sac-du-phong-orico-12000mah-le12000-hang-chinh-hang-p860206.html,,,
213,Orico W5PH4-U3 (B),Orico,ORICO-W5PH4-U3,4304484454967,9239076007991,1,156000,https://tiki.vn/hub-usb-3-0-orico-w5ph4-u3-4-cong-hang-chinh-hang-p1939675.html,,,
214,Orico W6PH4 (B),Orico,ORICO-W6PH4,1739704955871,3920373651494,0,213000,https://tiki.vn/hub-usb-3-0-orico-4-cong-w6ph4-p575557.html,,,
215,Orico W8PH4 (B),Orico,ORICO-W8PH4,5682403119043,7772142483111,0,215000,https://tiki.vn/hub-usb-3-0-orico-4-cong-w8ph4-hang-chinh-hang-p311933.html,,,
216,Orico W9PH4 (B),Orico,ORICO-W9PH4,9657785456266,3926453072005,0,280000,https://tiki.vn/hub-usb-3-0-orico-4-cong-w9ph4-hang-chinh-hang-p681339.html,,,
217,Orico W5P-U3-30 (B),Orico,ORICO-W5P-U3-30,7834587889801,3926380667916,1,150000,https://tiki.vn/hub-usb-3-0-orico-4-cong-w5p-u3-hang-chinh-hang-p745618.html,,,
218,Orico ASH7-U3 (W),Orico,ORICO-H7013-U3-AD,8110245022339,3926878965289,0,685000,https://tiki.vn/hub-usb-3-0-orico-7-cong-ash7-u3-hang-chinh-hang-p575202.html,,,
219,Orico W5P-U2-30 (B),Orico,ORICO-W5P-U2-30,2122692919465,6191224087688,1,99000,https://tiki.vn/bo-chia-usb-4-port-orico-w5p-u2-30-den-p7886814.html,,,
220,Orico H4013-U2-03 (Gr),Orico,ORICO-H4013-U2-03-GR,8316102569225,3923332415298,0,110000,https://tiki.vn/hub-usb-2-0-orico-4-cong-h4013-u2-03-p311851.html,,,
221,Orico H4013-U2-03 (W),Orico,ORICO-H4013-U2-03-W,4760093488173,3923427217776,0,110000,https://tiki.vn/hub-usb-2-0-orico-4-cong-h4013-u2-03-p311851.html,,,
222,Orico H4013-U2-03 (B),Orico,ORICO-H4013-U2-03-B,5696661201594,3921590530449,0,110000,https://tiki.vn/hub-usb-2-0-orico-4-cong-h4013-u2-03-p311851.html,,,
223,Orico M3H4-V1 (W),Orico,ORICO-M3H4-V1,8132728646016,3924150925914,1,328000,https://tiki.vn/hub-usb-3-0-orico-4-cong-m3h4-v1-hang-chinh-hang-p575604.html,,,
224,Orico M3H7-V1 (W),Orico,ORICO-M3H7-V1,4393948277662,9834667630697,0,712000,https://tiki.vn/bo-chia-hub-usb-3-0-orico-m3h7-v1-7-cong-p311549.html,,,
225,Orico AS7C2 (B),Orico,ORICO-AS7C2,4923817790031,8912652877980,0,861000,https://tiki.vn/bo-chia-hub-usb-3-0-orico-as7c2-7-cong-p311594.html,,,
226,Orico M4U3 (W),Orico,ORICO-M4U3,3436208587581,3921641932130,0,275000,https://tiki.vn/hub-usb-3-0-orico-4-cong-m4u3-hang-chinh-hang-p575383.html,,,
227,Orico ARH4-U3 (S),Orico,ORICO-ARH4-U3,9816788637830,7539811750499,1,421000,https://tiki.vn/bo-chia-usb-hub-4-cong-orico-arh4-u3-usb-3-0-type-c-hang-chinh-hang-p9934338.html,,,
228,Orico ASH7-U3 (W),Orico,ORICO-ASH7-U3,6297799836833,5185744708889,0,685000,https://tiki.vn/bo-chia-usb-hub-7-cong-usb-3-0-type-c-orico-ash7-u3-hang-chinh-hang-p9934291.html,,,
229,Orico ASH4-U3 (W),Orico,ORICO-ASH4-U3,3019167987335,5865286424422,1,391000,https://tiki.vn/bo-chia-usb-hub-4-cong-usb-3-0-type-c-orico-ash4-u3-hang-chinh-hang-p9934254.html,,,
230,Orico H3TS-U2 (B),Orico,ORICO-H3TS-U2,3394256911034,2370792291886,0,134000,https://tiki.vn/bo-chia-usb-hub-3-cong-usb-2-0-tich-hop-dau-doc-the-nho-tf-sd-orcio-h3ts-u2-p7887351.html,,,
231,Orico SHC-U3 (B),Orico,ORICO-SHC-U3,5230619867199,3928333032710,1,253000,https://tiki.vn/hub-usb-3-0-orico-4-cong-shc-u3-p311429.html,,,
232,Orico H3TS-U3 (B),Orico,ORICO-H3TS-U3,1312899359749,7223582949243,0,269000,https://tiki.vn/bo-chia-hub-usb-3-0-type-c-orico-ch3sf-3-cong-tich-hop-dau-doc-the-nho-tf-sd-p311673.html,,,
233,Orico HR01-U3 (B),Orico,ORICO-HR01-U3,2004279391751,3922253407641,0,388000,https://tiki.vn/hub-usb-3-0-orico-3-cong-hr01-u3-hang-chinh-hang-p681306.html,,,
234,Orico 3588US3,Orico,,1347798170935,3368519967663,1,323000,https://tiki.vn/hop-o-cung-3-5-va-2-5-sata-3-usb-3-0-type-c-orico-3588us3-p10405785.html,,,
235,Orico TC4U-U3 (S),Orico,,9159748364453,2606586620250,0,265000,https://tiki.vn/bo-chia-4-cong-usb-3-0-orico-tc4u-u3-sv-hang-chinh-hang-p1827483.html,,,
236,Orico 3588C3,Orico,Orico-3588C3,8980926011859,3368684234911,0,454000,https://tiki.vn/hdd-box-orico-usbtypec-3-5-2-5-3588c3-p575502.html,,,
237,Orico 6218US3,Orico,,9823155977734,3364910825717,0,296000,https://tiki.vn/de-o-cung-docking-1-khe-cam-3-5-va-2-5-sata-3-usb-3-0-orico-6218us3-p9308646.html,,,
238,Orico 6228US3-C,Orico,,6508656653150,3369023481539,1,604000,https://tiki.vn/de-cam-o-cung-2-cong-orico-6228us3-dock-o-cung-2-5-3-5-hang-chinh-hang-p9317939.html,,,
239,Orico 35UTS,Orico,ORICO-35UTS,1778759687504,6615598428019,1,304000,https://tiki.vn/dau-doc-du-lieu-o-cung-3-5-va-2-5-sata-3-usb-3-0-orico-35uts-p3777689.html,,,
240,Orico 3139U3,Orico,Orico-3139U3,3072242460338,6205358758984,0,348000,https://tiki.vn/hop-dung-o-cung-di-dong-hdd-box-3-5-inch-orico-3139u3-hang-chinh-hang-p1036160.html,,,
241,Orico 6518US3,Orico,,5553188673146,3361474744560,1,390000,https://tiki.vn/de-cam-o-cung-orico-6518us3-sata-3-usb-3-0-den-p9355285.html,,,
242,Orico 2789U3,Orico,ORICO-2789U3,3253977850490,8053920565564,0,215000,https://tiki.vn/hop-dung-o-cung-2-5-inch-ssd-hdd-sata-3-usb-3-0-orico-2789u3-ngau-nhien-hang-chinh-hang-p9462161.html,,,
243,Orico 2577U3,Orico,ORICO-2577U3,2905314672630,5782854631979,1,134000,https://tiki.vn/o-cung-hdd-box-orico-usb3-0-2-5-2577u3-hang-chinh-hang-p3831591.html,,,
244,Orico 2588US3 (B),Orico,,7967281673398,3366080129879,1,150000,https://tiki.vn/hop-dung-o-cung-2-5-ssd-hdd-sata-usb-3-0-orico-2588us3-hang-chinh-hang-p9742108.html,,,
245,Orico 6638US3-C,Orico,ORICO-6638US3-C,9044560690845,3361080524679,0,1360000,https://tiki.vn/hdd-box-orico-usb3-0-3-5-2-5-6638us3-c-p575554.html,,,
246,Orico 6648US3-C,Orico,,8100977242457,3366040974815,0,1847000,https://tiki.vn/de-o-cung-docking-4-khe-cam-3-5-va-2-5-sata-3-usb-3-0-orico-6648us3-c-p10405324.html,,,
247,Orico 2569S3-V1 (S),Orico,Orico-2569S3-V1,1696075667966,6505029458329,0,156000,https://tiki.vn/hop-o-cung-2-5-ssd-hdd-sata-3-usb-3-0-orico-2569s3-v1-p9416457.html,,,
248,Orico 2538U3,Orico,Orico-2538U3,1799789292131,6222441844553,0,194000,https://tiki.vn/box-dung-o-cung-2-5-orico-2538u3-cong-usb-3-0-hang-chinh-hang-p9461729.html,,,
249,Orico 2538C3,Orico,,6916430602681,4376705090223,0,307000,https://tiki.vn/hop-dung-o-cung-2-5-inch-ssd-hdd-sata-3-usb-3-0-type-c-orico-2538c3-hang-chinh-hang-p9461440.html,,,
250,Orico WS200RU3,Orico,ORICO-WS200RU3,2218796478578,7275874036537,0,2063000,https://tiki.vn/hop-dung-o-cung-hdd-2-khay-orico-3-5-usb-3-0-ws200ru3-eu-sv-bac-hang-chinh-hang-p6568741.html,,,
251,Orico WS500RU3,Orico,,3530616390921,8528153766908,0,4640000,https://tiki.vn/hop-dung-o-cung-hdd-5-khay-orico-3-5-usb-3-0-ws500ru3-eu-sv-bac-hang-chinh-hang-p6568775.html,,,
252,Orico 1106SS,Orico,,6789319063794,4468886837749,0,210000,https://tiki.vn/khay-o-cung-pc-orico-caddy-bay-3-5-sata-1-2-3-1106ss-p9286903.html,,,
253,Orico 2139U3,Orico,ORICO-2139U3,4788404881062,3364245433687,1,134000,https://tiki.vn/hop-dung-o-cung-di-dong-hdd-box-2-5-orico-2139u3-usb3-0-2-5-nhua-trong-suot-hang-chinh-hang-p575388.html,,,
254,Orico L127SS,Orico,,3442861735399,3365878679305,1,182000,https://tiki.vn/khay-o-cung-laptop-caddy-bay-2-5-sata-1-2-3-orico-l127ss-p8521806.html,,,
255,Orico L95SS,Orico,,5618687886357,3369309043017,1,182000,https://tiki.vn/khay-o-cung-laptop-caddy-bay-2-5-sata-1-2-3-orico-l95ss-p8556786.html,,,
256,Orico 2189U3,Orico,,8092988906087,3360744931174,0,136000,https://tiki.vn/hop-o-cung-2-5-ssd-hdd-sata-3-usb-3-0-orico-2189u3-p9285909.html,,,
257,Orico MSA-U3,Orico,Orico-MSA-U3,5148173657319,9568988688135,0,215000,https://tiki.vn/hop-dung-o-cung-2-5-inch-msata3-ssd-usb-3-0-orico-msa-u3-hang-chinh-hang-p9460403.html,,,
258,Orico 1106SS,Orico,,6172390102221,4468886837749,1,210000,https://tiki.vn/hotswap-cho-may-tinh-de-ban-orico-1106ss-den-hang-phan-phoi-chinh-hang-p9489025.html,,,
259,Orico L127SS,Orico,,2547264627270,3365878679305,1,182000,https://tiki.vn/khay-o-cung-laptop-caddy-bay-2-5-sata-1-2-3-orico-l127ss-p10401808.html,,,
260,Orico L95SS,Orico,,6066237063182,3369309043017,1,182000,https://tiki.vn/khay-o-cung-laptop-caddy-bay-2-5-sata-1-2-3-orico-l95ss-p10401617.html,,,
261,Sjcam M20,SJCAM,SJCAM-M20,2607309350003,5218352062293,1,,https://tiki.vn/camera-hanh-trinh-sjcam-m20-4k-wifi-hang-chinh-hang-p9805906.html,"https://www.lazada.vn/products/camera-hanh-trinh-sjcam-m20-4k-wifi-hang-phan-phoi-chinh-thuc-i256639268-s352078599.html

https://www.lazada.vn/products/camera-the-thao-sjcam-m20-den-i1634821-s2032508.html

https://www.lazada.vn/products/xa-kho-camera-hanh-trinh-hanh-dong-sjcam-m20-chat-luong-4k-chong-rung-tuyet-voi-tang-kem-1-gay-selfie-bao-hanh-12-thang-ho-tro-doi-tra-1-vs-1-i210127588-s262576794.html","https://shopee.vn/Camera-h%C3%A0nh-tr%C3%ACnh-SJCAM-M20-4K-wifi-B%E1%BA%A3o-h%C3%A0nh-12-th%C3%A1ng-i.52305609.1086373850

https://shopee.vn/Camera-h%C3%A0nh-tr%C3%ACnh-SJCAM-M20-b%E1%BA%A3o-h%C3%A0nh-12-th%C3%A1ng-h%E1%BB%97-tr%E1%BB%A3-%C4%91%E1%BB%95i-tr%E1%BA%A3-1-1-camera-h%C3%A0nh-%C4%91%E1%BB%99ng-4k-camera-h%C3%A0nh-tr%C3%ACnh-4k-wifi-i.23129214.2034074803","https://www.sendo.vn/camera-hanh-trinh-sjcam-m20-4k-wifi-hang-phan-phoi-chinh-thuc-13481344.html

https://www.sendo.vn/camera-ha-nh-tri-nh-sjcam-m20-6276570.html

https://www.sendo.vn/camera-hanh-trinh-sjcam-m20-9456444.html"
